word,frequency
feeding,17
allayed,1
to-morrow,156
sharpened,1
former,65
fill,74
hungry,26
fulness,5
spirit,262
perpetual,24
dulness,2
interim,12
ocean,33
shore,70
banks,17
blest,57
welcome,374
thrice,68
wished,7
slave,134
services,35
require,23
world-without-end,2
sovereign),1
watch,133
bitterness,11
bid,353
servant,193
adieu,101
jealous,50
affairs,69
suppose,33
fool,395
thing),1
thinks,67
god,773
control,16
crave,49
vassal,20
bound,187
suffer,86
(being,3
beck),1
patience,203
tame,42
sufferance,23
bide,15
check,28
accusing,3
list,61
charter,8
privilage,1
belong,19
pardon,304
self-doing,1
wait,68
waiting,15
hell,170
been,730
brains,45
beguiled,6
labouring,16
amis,2
second,116
backward,22
five,129
hundred,118
courses,18
character,20
composed,2
wonder,127
mended,13
revolution,4
wits,86
subjects,62
worse,175
admiring,6
waves,21
pebbled,1
hasten,9
goes,191
sequent,10
forwards,1
contend,18
nativity,16
main,49
crawls,1
maturity,2
wherewith,10
crooked,16
confound,40
transfix,1
flourish,108
delves,1
parallels,3
feeds,23
rarities,2
stands,166
mow,7
slumbers,6
broken,69
mock,91
send’st,1
home,352
pry,8
shames,20
idle,72
tenure,2
jealousy,40
awake,83
defeat,13
watchman,3
wake,56
elsewhere,10
near,277
sin,179
possesseth,2
soul,447
remedy,61
grounded,5
define,5
worths,2
surmount,2
indeed,443
beated,1
chopt,4
tanned,1
antiquity,7
contrary,50
self-loving,2
iniquity,11
self),1
painting,24
crushed,1
o’erworn,3
drained,2
travelled,1
age’s,3
steepy,2
he’s,72
king,1452
vanishing,1
confounding,4
knife,59
cut,182
lover’s,3
defaced,1
rich-proud,1
cost,51
outworn,3
towers,9
down-rased,1
brass,19
advantage,76
kingdom,95
firm,41
soil,25
win,124
watery,12
increasing,8
interchange,7
confounded,12
ruin,38
taught,51
ruminate,8
choose,106
fears,80
boundless,9
mortality,16
o’ersways,2
power,332
action,119
flower,57
honey,41
wrackful,1
siege,34
batt’ring,1
rocks,21
impregnable,4
stout,21
gates,100
steel,73
decays,5
fearful,94
meditation,8
spoil,28
miracle,27
ink,30
restful,2
cry,240
beggar,61
born,177
needy,7
trimmed,2
jollity,6
purest,6
faith,420
unhappily,5
forsworn,65
shamefully,5
misplaced,2
